-73.49901,41.05315,"Holly Pond _05az","Holly Pond"
-73.08289,41.78315,"Lake Harwinton _05a6","Lake Harwinton"
-73.43734,41.33121,"Hawley Pond _05a8","Hawley Pond"
-73.11317,41.60732,"Heminway Pond _05ac","Heminway Pond"
-73.28123,41.20787,"Hemlock Reservoir _05ae","Hemlock Reservoir"
-73.47651,41.21732,"Hendersons Pond _05ag","Hendersons Pond"
-73.08205,41.92287,"Highland Lake _05aq","Highland Lake"
-73.27234,41.15454,"Perrys Millpond _05br","Perrys Millpond"
-72.62509,41.33176,"Hog Pond _05ax","Hog Pond"
-72.8301,41.52343,"Hanover Pond _059w","Hanover Pond"
-73.56818,41.10482,"Holts Ice Pond _05b0","Holts Ice Pond"
-73.45901,41.12149,"Holy Ghost Fathers Pond _05b2","Holy Ghost Fathers Pond"
-73.48318,41.43176,"Padanaram Reservoir _05ba","Padanaram Reservoir"
-73.05955,41.34037,"Parkers Pond _05bd","Parkers Pond"
-73.05816,41.36954,"Peat Swamp Reservoir _05bl","Peat Swamp Reservoir"
-73.00261,41.42287,"Peck Pond _05bo","Peck Pond"
-75.20907,41.31815,"Promised Land Lake _0001","Promised Land Lake"
-72.95094,41.56454,"Hitchcock Lake _05as","Hitchcock Lake"
-73.48846,41.18982,"Grupes Reservoir _057e","Grupes Reservoir"
-73.25456,41.20287,"Lake Mohegan _053l","Lake Mohegan"
-73.22067,41.18815,"Moodys Mill Pond _053o","Moodys Mill Pond"
-73.48234,41.14815,"Nichols Pond _053v","Nichols Pond"
-73.46429,41.38843,"Old Mill Pond (historical) _0542","Old Mill Pond (historical)"
-73.4379,41.38121,"Rogers Park Pond _054u","Rogers Park Pond"
-73.39373,41.08871,"Spruce Swamp Pond _055k","Spruce Swamp Pond"
-73.1715,41.2401,"Thrushwood Lake _055x","Thrushwood Lake"
-72.85093,41.35121,"Hartens Pond _05a3","Hartens Pond"
-72.7751,41.27926,"Griffins Pond _057b","Griffins Pond"
-73.32917,40.69722,"Argyle Lake _059z","Argyle Lake"
-73.03955,41.21704,"Gulf Pond _057h","Gulf Pond"
-73.68694,40.64389,"Grant Pond _057i","Grant Pond"
-73.29178,41.33565,"Guskie Pond _057k","Guskie Pond"
-73.45123,41.15093,"Guthrie Pond _057l","Guthrie Pond"
-73.44734,41.13343,"Hams Pond _059o","Hams Pond"
-73.04733,41.59399,"Hancock Pond _059t","Hancock Pond"
-72.96899,41.26676,"Phipps Lake _05bs","Phipps Lake"
-73.93,41.09333,"Lydscker Pond (historical) _056e","Lydscker Pond (historical)"
-73.11983,41.3076,"Shelton Reservoir _05er","Shelton Reservoir"
-73.26067,41.1826,"Samp Mortar Reservoir _05e1","Samp Mortar Reservoir"
-73.3504,41.24871,"Saugatuck Reservoir _05ea","Saugatuck Reservoir"
-73.03038,41.50843,"Schildgen Pond _05ec","Schildgen Pond"
-72.59259,41.29899,"Schumanns Pond _05ee","Schumanns Pond"
-72.98372,41.58149,"Scoville Reservoir _05eg","Scoville Reservoir"
-73.19372,41.20093,"Seeleys Pond _05ej","Seeleys Pond"
-73.11483,41.22565,"Pecks Mill Pond _05bp","Pecks Mill Pond"
-73.48235,41.23232,"Sheffield Pond _05eo","Sheffield Pond"
-73.0176,41.24843,"Rose Mill Pond _05dq","Rose Mill Pond"
-73.34012,41.1176,"Sherwood Millpond _05et","Sherwood Millpond"
-73.28539,41.14176,"Sherwood Millpond _05eu","Sherwood Millpond"
-73.06622,41.40926,"Silver Lake _05ez","Silver Lake"
-73.47012,41.17037,"Silvermine Pond _05f4","Silvermine Pond"
-72.80732,41.45093,"Simpson Pond _05f6","Simpson Pond"
-73.52401,41.19287,"Siscowit Reservoir _05f8","Siscowit Reservoir"
-73.10955,41.31815,"Skelton Reservoir _05f9","Skelton Reservoir"
-73.12372,41.16982,"Selby Pond _05ek","Selby Pond"
-73.06789,41.34704,"Quillinan Reservoir _05cx","Quillinan Reservoir"
-73.01872,41.29982,"Pin Oak Pond _05bu","Pin Oak Pond"
-73.08511,41.58704,"Pin Shop Pond _05bv","Pin Shop Pond"
-73.17595,41.25621,"Pinewood Lake _05c5","Pinewood Lake"
-72.87232,41.29232,"Pirot Pond _05c7","Pirot Pond"
-72.88038,41.29232,"Pollywog Pond _05ch","Pollywog Pond"
-73.10122,41.3351,"Picketts Pond _05cm","Picketts Pond"
-73.35956,41.19676,"Princes Pond _05cn","Princes Pond"
-72.84593,41.2951,"Lake Saltonstall _05dz","Lake Saltonstall"
-73.64124,41.08454,"Putnam Lake _05cw","Putnam Lake"
-73.23845,41.36898,"Rowledge Pond _05dw","Rowledge Pond"
-73.01038,41.23732,"Quirks Pond _05d2","Quirks Pond"
-73.22984,41.52343,"Radey Pond _05d5","Radey Pond"
-73.50346,41.11399,"Raymonds Pond _05da","Raymonds Pond"
-73.04955,41.60899,"Rifle Range Pond _05df","Rifle Range Pond"
-73.45123,41.1851,"Rock Lake _05dk","Rock Lake"
-73.48262,41.40509,"Rogers Pond _05dp","Rogers Pond"
-73.25761,41.15676,"Hopkins Pond _0524","Hopkins Pond"
-73.02483,41.53037,"Pritchards Pond _05co","Pritchards Pond"
-74.38293,40.91732,"Patex Pond _01h8","Patex Pond"
-73.44512,41.16315,"Old South Norwalk Reservoir _01ge","Old South Norwalk Reservoir"
-73.58624,41.15648,"Orient Lodge Lake _01gh","Orient Lodge Lake"
-73.49151,41.29871,"Outpost Inn Pond _01gl","Outpost Inn Pond"
-74.28543,40.95732,"Woodland Lake _01gm","Woodland Lake"
-74.28515,40.95704,"McDonalds Ponds _01gn","McDonalds Ponds"
-74.19515,41.02649,"Sturr Pond _01gq","Sturr Pond"
-73.51679,41.46648,"Merton Mill Pond _053c","Merton Mill Pond"
-74.33543,40.71566,"Briant Pond _01gx","Briant Pond"
-72.78204,41.48371,"North Farms Reservoir _01g3","North Farms Reservoir"
-74.5171,40.56788,"Lake Creighton _01h9","Lake Creighton"
-74.19959,40.14678,"Cascade Lake _01hb","Cascade Lake"
-74.60849,40.31511,"Grovers Mill Pond _01hc","Grovers Mill Pond"
-74.29292,40.00845,"Bunker Hill Pond _01hd","Bunker Hill Pond"
-74.1782,40.04928,"Lake Wadill _01he","Lake Wadill"
-74.08625,40.35344,"Shadow Lake _01hf","Shadow Lake"
-74.15431,40.33428,"Marlu Lake _01hg","Marlu Lake"
-74.1632,41.05426,"Suraci Pond _01gr","Suraci Pond"
-73.37512,41.1401,"Nash Pond _01fd","Nash Pond"
-73.12372,41.5551,"Miry Dam Pond _01ei","Miry Dam Pond"
-72.93871,41.51565,"Mixville Pond _01el","Mixville Pond"
-73.14067,41.58399,"Morehouse Pond _01es","Morehouse Pond"
-73.09872,41.67343,"Morton Pond _01ev","Morton Pond"
-73.12344,41.21537,"Motil Pond _01ew","Motil Pond"
-73.03233,41.48426,"Mulberry Reservoir _01f4","Mulberry Reservoir"
-73.46207,41.22621,"Mullens Pond _01f7","Mullens Pond"
-73.00122,41.47871,"Old Naugatuck Reservoir _01gd","Old Naugatuck Reservoir"
-73.5079,41.32232,"Lake Naraneka _01fb","Lake Naraneka"
-73.53846,41.1251,"North Stamford Reservoir _01g5","North Stamford Reservoir"
-72.93538,41.60954,"New Britain Reservoir _01fj","New Britain Reservoir"
